PRE; 1.029668e+00; 1.883453e-03; 8.387075e-01; -1.194811e-01; 3.275637e-01; -1.966689e-01; -3.192593e-01; -1.995178e-01; -8.339737e-01; -1.187065e-01; -1.029668e+00; -1.883453e-03; -8.387075e-01; 1.194811e-01; -3.275637e-01; 1.966689e-01; 3.192593e-01; 1.995178e-01; 8.339737e-01; 1.187065e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.000945e-01;
PRE; 1.029674e+00; 1.899363e-03; 8.387233e-01; -1.195154e-01; 3.275640e-01; -1.966854e-01; -3.192577e-01; -1.995657e-01; -8.339893e-01; -1.187100e-01; -1.029674e+00; -1.899363e-03; -8.387233e-01; 1.195154e-01; -3.275640e-01; 1.966854e-01; 3.192577e-01; 1.995657e-01; 8.339893e-01; 1.187100e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.001245e-01;
PRE; 1.029682e+00; 1.920129e-03; 8.387442e-01; -1.195600e-01; 3.275638e-01; -1.967067e-01; -3.192551e-01; -1.996280e-01; -8.340100e-01; -1.187144e-01; -1.029682e+00; -1.920129e-03; -8.387442e-01; 1.195600e-01; -3.275638e-01; 1.967067e-01; 3.192551e-01; 1.996280e-01; 8.340100e-01; 1.187144e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.001632e-01;
PRE; 1.029691e+00; 1.947227e-03; 8.387722e-01; -1.196179e-01; 3.275625e-01; -1.967339e-01; -3.192507e-01; -1.997086e-01; -8.340378e-01; -1.187198e-01; -1.029691e+00; -1.947227e-03; -8.387722e-01; 1.196179e-01; -3.275625e-01; 1.967339e-01; 3.192507e-01; 1.997086e-01; 8.340378e-01; 1.187198e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.002132e-01;
PRE; 1.029701e+00; 1.982543e-03; 8.388101e-01; -1.196930e-01; 3.275591e-01; -1.967686e-01; -3.192433e-01; -1.998130e-01; -8.340753e-01; -1.187265e-01; -1.029701e+00; -1.982543e-03; -8.388101e-01; 1.196930e-01; -3.275591e-01; 1.967686e-01; 3.192433e-01; 1.998130e-01; 8.340753e-01; 1.187265e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.002778e-01;
PRE; 1.029712e+00; 2.028403e-03; 8.388618e-01; -1.197900e-01; 3.275518e-01; -1.968128e-01; -3.192308e-01; -1.999477e-01; -8.341266e-01; -1.187346e-01; -1.029712e+00; -2.028403e-03; -8.388618e-01; 1.197900e-01; -3.275518e-01; 1.968128e-01; 3.192308e-01; 1.999477e-01; 8.341266e-01; 1.187346e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.003608e-01;
PRE; 1.029719e+00; 2.087461e-03; 8.389334e-01; -1.199148e-01; 3.275371e-01; -1.968692e-01; -3.192094e-01; -2.001206e-01; -8.341977e-01; -1.187449e-01; -1.029719e+00; -2.087461e-03; -8.389334e-01; 1.199148e-01; -3.275371e-01; 1.968692e-01; 3.192094e-01; 2.001206e-01; 8.341977e-01; 1.187449e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.004673e-01;
PRE; 1.029720e+00; 2.162166e-03; 8.390340e-01; -1.200735e-01; 3.275091e-01; -1.969417e-01; -3.191730e-01; -2.003405e-01; -8.342976e-01; -1.187590e-01; -1.029720e+00; -2.162166e-03; -8.390340e-01; 1.200735e-01; -3.275091e-01; 1.969417e-01; 3.191730e-01; 2.003405e-01; 8.342976e-01; 1.187590e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.006032e-01;
PRE; 1.029705e+00; 2.253170e-03; 8.391777e-01; -1.202716e-01; 3.274577e-01; -1.970375e-01; -3.191109e-01; -2.006159e-01; -8.344403e-01; -1.187809e-01; -1.029705e+00; -2.253170e-03; -8.391777e-01; 1.202716e-01; -3.274577e-01; 1.970375e-01; 3.191109e-01; 2.006159e-01; 8.344403e-01; 1.187809e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.007758e-01;
PRE; 1.029665e+00; 2.350082e-03; 8.393726e-01; -1.204967e-01; 3.273731e-01; -1.971631e-01; -3.190138e-01; -2.009325e-01; -8.346334e-01; -1.188191e-01; -1.029665e+00; -2.350082e-03; -8.393726e-01; 1.204967e-01; -3.273731e-01; 1.971631e-01; 3.190138e-01; 2.009325e-01; 8.346334e-01; 1.188191e-01; 1.000000e-02; 1.000000e-02; 1.000000e+00; 2.009815e-01;
